video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=cwcsKxnJeEE&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@SharingtheRoad,Sharing the Road,How To Get Around Seattle | Cheap Public Transport 101,144K,3 years,Today we're talking about how to get around Seattle for cheap. We'll be discussing the best public transportation in the city to ...,2026-01-21 21:38:15.005573
/watch?v=Kl_T3s3Ij4Q&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@seattledot,seattledot,Car-Free in Seattle: Top Transportation Options Explained,3.9K,7 months,There are SO many ways to get around Seattle! Here's a quick introduction to some of your options. Visit FlipYourTrip.org for more ...,2026-01-21 21:38:15.006862
/watch?v=FWeMvBEbok4&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@ClassyWhale,Classy Whale,Seattle's Light Rail is Too Good,100K,9 months,"Seattle overdid their light rail, and it's amazing. But it wasn't supposed to be one in the first place. DC Dreamin' Video Contest: ...",2026-01-21 21:38:15.011649
/watch?v=O6HItXil-aw&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@City-Moose,CityMoose,Why Seattle’s light rail network is about to double in size!,50K,4 days,Try Rocket Money for FREE or unlock more features with premium at: https://RocketMoney.com/CityMoose Support the ...,2026-01-21 21:38:16.231989
/watch?v=ct4bwWsP3iE&t=421s&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@TheB1M,The B1M,Seattle is Building a $54BN New Railway,1.1M,3 years,This could be the most ambitious public transit project in America. See how tools like Autodesk Build are streamlining ...,2026-01-21 21:38:16.233692
/watch?v=wqffXo6euV8&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@camdendavid,Camden David,23 Tips I Wish I Knew Before Visiting Seattle,101K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-21 21:38:16.234871
/watch?v=F8tA-D3-1-I&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@TRAVELTRICKS1,TRAVEL TRICKS,How to get an Orca Card in Seattle WA USA,7.9K,1 year,The Orca card is a handy card that you put money on to use the vast number of transit services in Seattle. As a visitor it can ...,2026-01-21 21:38:17.549483
/watch?v=FRhxWjO3OvU&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdNIHCQmHCgGHKiGM7w%3D%3D,/@Thom-TRA,Trains Are Awesome,3 Things I Like about Seattle Buses,32K,1 year,"Seattle has a lot of variety in its public transportation network. There are trains, streetcars, a monorail, ferries, trolleybuses, and just ...",2026-01-21 21:38:17.551495
/watch?v=en6WSv6stdY&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdA%3D%3D,/@foodloverasian143,foodloverasian,How to use Seattle Link Light Rail ( from Sea-Tac Airport to Downtown Seattle ) - Tour Guide 2023,111K,2 years,Follow me in instagram at https://www.instagram.com/foodloverasian Please switch to 1080p on your settings to get a better ...,2026-01-21 21:38:17.553263
/watch?v=bv0MbiGw8XY&pp=ygUWU2VhdHRsZSBwdWJsaWMgdHJhbnNpdNIHCQmHCgGHKiGM7w%3D%3D,/@_planesandtrains_,Planes and Trains,Full Ride – Seattle's Sound Transit Link Light Rail 1 Line – Northbound – Angle Lake – Northgate,3.3K,3 years,Hope you enjoy this full ride on Seattle's Sound Transit Link Light Rail 1 Line train northbound to Northgate from Angle Lake.,2026-01-21 21:38:17.556040
