video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=VvXEyhrlxzM&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,"Seattle I-5 closure begins tonight, brace for more traffic next week",4K,6 months,"The northbound lanes of I-5 will be fully closed in Seattle this weekend for WSDOT's 'Revive I-5' project. However, when I-5 ...",2026-01-21 21:55:48.160397
/watch?v=vdhhlylAXPY&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@komonews,KOMO News,"Long-term I-5 lane reductions to impact Seattle traffic, drivers urged to plan for delays",18K,12 days,Drivers heading through Seattle will need to adjust their travel plans starting this weekend as major construction resumes on ...,2026-01-21 21:55:48.162283
/watch?v=IyZYqSHhjZQ&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,I-5 northbound closed through Seattle for weekend Revive I-5 work,1.6K,11 days,Drivers are urged to plan ahead as all northbound lanes of I-5 are closed this weekend from I-90 in Seattle's International District ...,2026-01-21 21:55:48.168413
/watch?v=QJhJ35TQw8s&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Revive I-5 snarls Seattle commute as lanes narrow across Ship Canal Bridge | FOX 13 Seattle,11K,8 days,Traffic congestion returned across Seattle as Revive I-5 construction reduced northbound I-5 to two lanes over the Ship Canal ...,2026-01-21 21:55:48.169788
/watch?v=faimMLry81M&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@kiro7,KIRO 7 News,Seattle traffic: Best detours as I-5 closures return,5.1K,12 days,"Construction on the Ship Canal Bridge is set to continue, as the Washington Department of Transportation (WSDOT) implements ...",2026-01-21 21:55:49.181730
/watch?v=ZAZbfBFOXzE&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,I-5 closure through downtown Seattle snarls traffic,5.5K,5 months,"The roadway will reopen at 5 a.m. Monday, Aug. 18.",2026-01-21 21:55:49.183550
/watch?v=K03gp4kOhOY&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,I-5 N lane closures in Seattle will last until June,2K,9 days,Two left lanes of I-5 N over the Ship Canal Bridge will be closed until June.,2026-01-21 21:55:50.378475
/shorts/UCRUv-wXrlA,/@KING5Seattle,KING 5 Seattle,21-car pileup caused major traffic delays on I-5,1.1K,1 day,Northbound I-5 is back to normal after a chaotic morning on Jan. 19 near Fife.,2026-01-21 21:55:50.379627
/watch?v=zn6QYTCLUuY&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,WSDOT begins fall road construction with multiple I-5 and I-90 closures,5.3K,3 months,Drivers should expect delays this weekend as WSDOT begins a new round of fall construction projects. The closures will affect ...,2026-01-21 21:55:50.380689
/watch?v=-DKA7zGWB94&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,"I-5 closure in Seattle snarls weekend traffic, pushes more commuters to alternatives",4.4K,5 months,"Crews shut down a major stretch of Interstate 5 in Seattle, closing northbound lanes from I-90 to Northeast 45th Street to remove a ...",2026-01-21 21:55:52.079320
/watch?v=yuY-z2mZZuM&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Some Seattle commuters opt for alternatives to beat weekend I-5 closure,4.8K,5 months,"Starting late Friday night and lasting through early Monday morning, NB I-5 will be closed from the I-90 interchange to Northeast ...",2026-01-21 21:55:52.080499
/shorts/_spGoxeabF0,/@KING5Seattle,KING 5 Seattle,Revive I-5 work to impact traffic in Seattle,4.8K,11 days,"Revive I-5 construction will impact traffic for about 6 miles through Seattle, beginning this weekend.",2026-01-21 21:55:52.082541
/watch?v=0rS1ZfhYs-o&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Preparing for another I-5 weekend closure in Seattle | FOX 13 Seattle,6.7K,6 months,"Drivers in Seattle should prepare for significant traffic delays this weekend, as multiple road closures are planned across the ...",2026-01-21 21:55:53.907401
/shorts/29cUCNIJ1xw,/@KING5Seattle,KING 5 Seattle,Around 20 vehicles involved in crash on I-5 in Fife,3.3K,2 days,At least 20 cars were involved in a pile up due to debris on the road around 5 a.m. on northbound Interstate 5 Monday near the ...,2026-01-21 21:55:53.908646
/watch?v=dHOZwlkzhzg&pp=ygUTSS01IHRyYWZmaWMgU2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Northbound I-5 to close through downtown Seattle during busy summer weekend,5.6K,6 months,WSDOT's traffic management center is under pressure as northbound I-5 heads into a complete closure through downtown ...,2026-01-21 21:55:53.912633
