video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=_Rcd08OTJpc&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@SeattleTransit,Seattle Transit,Sound Transit Link Light Rail: 1 Line Lynwood City Center to Federal Way Downtown ,854,2 weeks,"This is just the part of Central Link. I plan to make more videos as the line expands to Tacoma and Everett, and of future transit ...",2026-01-21 21:44:01.874908
/watch?v=-tImk5T3iiU&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@SoundTransit,Sound Transit,First in the world: How Sound Transit built light rail on a floating bridge,14K,2 months,"Stretching more than a mile across Lake Washington, the Homer M. Hadley bridge connects Puget Sound communities from ...",2026-01-21 21:44:01.876285
/watch?v=sxf11WWS2jI&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@TheUrbanist,The Urbanist,Sound Transit ST3 Light Rail Expansion Plan,10K,3 years,Sound Transit lays out its phased expansion plan. Opening dates have been delayed from what's shown by the ...,2026-01-21 21:44:01.878016
/watch?v=8a1zT5ehlDY&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@fox13seattle,FOX 13 Seattle,Sound Transit opens Federal Way light rail extension,2.8K,1 month,"After years of delays caused by unstable soil along the route, Sound Transit has debuted its new Federal Way light rail extension, ...",2026-01-21 21:44:02.676190
/watch?v=OOUwPTrvEL4&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@KING5Seattle,KING 5 Seattle,Sound Transit tests new light rail path across I-90 floating bridge,6.5K,4 months,The company says it hopes the route will be fully open by early 2026.,2026-01-21 21:44:02.678645
/watch?v=m7awN_p4no4&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@WorldOfTransit,World Of Transit,Seattle Sound Transit Link Light Rail,42,6 hours,Scenes from Sound Transit's Light Rail in Seattle. The system officially began service in 2009 using the former bus only ...,2026-01-21 21:44:02.681409
/watch?v=BdKUQkVl_g4&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@fox13seattle,FOX 13 Seattle,Sound Transit tests I-90 light rail connection | FOX 13 Seattle,5.4K,4 months,Sound Transit tested the light rail across the I-90 floating bridge overnight. FOX 13's Adam Gehrke shows the big strides being ...,2026-01-21 21:44:03.519794
/watch?v=ypiKbJVR9DA&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@WalkSignals,Walk Signals,"Sound Transit Link 1 Line, Angle Lake to Lynnwood, 2024",7.1K,1 year,"Sound Transit recently completed an extension of the light rail 1 Line, adding 4 new stations north of Northgate. The 1 Line now ...",2026-01-21 21:44:03.521803
/watch?v=_GYkZJfqdWg&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@KING5Seattle,KING 5 Seattle,Sound Transit announces opening date of Federal Way light rail stop,4.9K,Streamed 4 months,"The Federal Way light rail station adds 7.8 miles to the system, with stops in Kent, Des Moines, and Star Lake.",2026-01-21 21:44:05.066650
/watch?v=QutblFjfGbE&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@YetAnotherUrbanist,Yet Another Urbanist,Sound Transit 3 | How Austerity Can Ruin a Great Transit Project,47K,2 years,"Sound Transit 3 is an ambitious expansion to Seattle's Link Light Rail system, but recently, Sound Transit has been experimenting ...",2026-01-21 21:44:05.068132
/watch?v=MkMZ7Vtc9ZE&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls0gcJCYcKAYcqIYzv,/@SoundTransit,Sound Transit,Sound Transit - How to ride with your bicycle on Link light rail,30K,14 years,Tips for bringing your bike on Sound Transit's Central Link light rail; a light rail line that runs from downtown Seattle to the ...,2026-01-21 21:44:05.069375
/watch?v=FWeMvBEbok4&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@ClassyWhale,Classy Whale,Seattle's Light Rail is Too Good,100K,9 months,"Seattle overdid their light rail, and it's amazing. But it wasn't supposed to be one in the first place. DC Dreamin' Video Contest: ...",2026-01-21 21:44:05.071015
/watch?v=49h3BOZ9npY&pp=ygUYU291bmQgdHJhbnNpdCBsaWdodCByYWls,/@SoundTransit,Sound Transit,Know before you go - how to pay,21K,1 year,Paying for your ride is easy. Follow these simple steps and you'll be ready to ride. For more information check out: ...,2026-01-21 21:44:05.072052
